location_id,postal_code,city,state,country
290,560043,Bengalore,Karnataka,In
291,403202,Bambolim,Goa,In
292,700059,North 24 Parganas,West Bengal,In
293,411057,Pimpri-Chinchwad,Maharashtra,In
294,382424,Gandhinagar,Gujarat,In
295,201005,Sahibabad,Uttar Pradesh,In
296,560085,Banglore,Karnataka,In
297,816101,Sahibganj,Jharkhand,In
298,415012,Medha,Maharashtra,In
299,577301,Bhadravati,Karnataka,In
300,781016,Guwahati,Assam,In
301,500005,Hyderabad,Telangana,In
302,462027,Bhopal,Madhya Pradesh,In
303,501401,Kompally,Telangana,In
304,203389,Debai,Uttar Pradesh,In
305,562101,Chikballapur,Karnataka,In
306,492010,Raipur,Chhattisgarh,In
307,700004,Kolkata,West Bengal,In
308,670004,"Pallikkunnu, Kannur",Kerala,In
309,160019,Chandigarh,Chandigarh,In
310,201308,Gautam Buddha Nagar,Uttar Pradesh,In
311,400019,Mumbai,Maharashtra,In
312,600030,Chennai,Tamil Nadu,In
313,784145,Guwahati,Assam,In
314,781018,Guwahati,Assam,In
315,242306,Shahjahanpur,Uttar Pradesh,In
316,600032,Maduvankarai/Chennai,Tamil Nadu,In
317,680101,"Guruvayur, Thrissur",Kerala,In
318,742226,Murshidabad,West Bengal,In
319,143519,Dhariwal. Teh & Distt Gurdaspur,Punjab,In
320,534204,Pedaamiram,Andhra Pradesh,In
321,151004,Bathinda,Punjab,In
322,400024,Kurla East Mumbai,Maharashtra,In
323,243005,Bareilly,Uttar Pradesh,In
324,831013,Adityapur/ Jamshedpur,Jharkhand,In
325,485005,Satna,Madhya Pradesh,In
326,504102,Nirmal,Telangana,In
327,563114,Bangarapet,Karnataka,In
328,380014,Ahmedabad 380014,Gujarat,In
329,500090,Hyderabad,Andhra Pradesh,In
330,180002,Jammu,Jammu & Kashmir,In
331,244412,Chandausi Dist.Sambhal,Uttar Pradesh,In
332,176302,Chuari Khas,Himachal Pradesh,In
333,401305,Virar East,Maharashtra,In
334,670103,Thalassery,Kerala,In
335,580030,Hubballi,Karnataka,In
336,754106,Balikuda,Odisha,In
337,508218,Miryagudem,Telangana,In
338,500031,Hyderabad,Telangana,In
339,682016,Kochi,Kerala,In
340,600006,Chennai,Tamil Nadu,In
341,400053,Mumbaimumbai,Maharashtra,In
342,247663,Laksar,Uttarakhand,In
343,411030,Pune 411030,Maharashtra,In
344,612804,Udaiyalur,Tamil Nadu,In
345,586102,Vijapura,Karnataka,In
346,700110,Kolkata,West Bengal,In
347,560094,Bengaluru,Karnataka,In
348,784144,Sipajhar,Assam,In
349,502307,Patancheru,Telangana,In
350,403501,Porvorim,Goa,In
351,673122,Kalpetta,Kerala,In
352,201309,Ghaziabad,Uttar Pradesh,In
353,141015,Ludhiana,Punjab,In
